User Id,Region,Device,Channel,Session Start,Session End,SessionDurationSec,Session Date,Month,Day,Hour of day,Order Dt,Revenue,Payment Type,Promo code
529697267522,United States,iPhone,социальные сети,2019-05-01 00:06:40,2019-05-01 00:07:06,26.00000042002648,2019-05-01,5,3,0,2019-05-01 00:06:40,9999.0,Mobile payments,0.0
601292388085,United States,PC,organic,2019-05-01 06:56:16,2019-05-01 07:09:18,781.9999998668209,2019-05-01,5,3,7,,,,
852898876338,United States,Mac,социальные сети,2019-05-01 04:30:45,2019-05-01 04:34:56,251.0000002104789,2019-05-01,5,3,4,,,,
998513020664,United States,iPhone,социальные сети,2019-05-01 18:53:42,2019-05-01 18:57:35,232.99999977461994,2019-05-01,5,3,18,,,,
240702200943,United States,Mac,социальные сети,2019-05-02 14:04:32,2019-05-02 14:09:51,318.9999997615814,2019-05-02,5,4,14,,,,
271758921583,United States,iPhone,социальные сети,2019-05-02 08:40:35,2019-05-02 08:41:15,39.99999992083758,2019-05-02,5,4,8,,,,
425357155257,United States,Android,социальные сети,2019-05-02 16:32:29,2019-05-02 16:55:30,1380.999999702908,2019-05-02,5,4,16,,,,
768721432035,Frаnce,Mac,реклама у блогеров,2019-05-02 10:21:30,2019-05-02 10:51:54,1823.9999995334074,2019-05-02,5,4,10,,,,
177410811849,Unjted States,Android,социальные сети,2019-05-03 18:43:49,2019-05-03 19:30:52,2823.0000004637986,2019-05-03,5,5,19,,,,
337713702816,United States,iPhone,реклама у блогеров,2019-05-03 19:48:35,2019-05-03 20:16:10,1655.0000002607703,2019-05-03,5,5,20,,,,
646967194055,Germany,PC,organic,2019-05-03 10:48:10,2019-05-03 11:12:32,1461.9999997783452,2019-05-03,5,5,11,,,,
690688816702,Frаnce,PC,organic,2019-05-03 07:58:24,2019-05-03 08:15:40,1036.000000149943,2019-05-03,5,5,8,,,,
819430452750,UK,PC,organic,2019-05-03 09:28:23,2019-05-03 09:41:51,807.9999996582046,2019-05-03,5,5,9,,,,
841208777989,United States,Mac,социальные сети,2019-05-03 22:19:03,2019-05-03 22:59:53,2450.000000023283,2019-05-03,5,5,22,,,,
141158670001,Germany,android,контексная реклама,2019-05-04 07:33:33,2019-05-04 07:54:23,1249.9999998835847,2019-05-04,5,6,7,,,,
275047061155,United States,Mac,organic,2019-05-04 19:02:24,2019-05-04 19:36:31,2047.0000001136214,2019-05-04,5,6,19,,,,
375412209113,United States,iPhone,organic,2019-05-04 08:37:20,2019-05-04 09:34:01,3400.9999997913837,2019-05-04,5,6,9,,,,
247341796763,United States,Android,социальные сети,2019-05-05 16:34:52,2019-05-05 16:41:52,420.0000001117587,2019-05-05,5,7,16,,,,
497724697381,United States,Android,социальные сети,2019-05-05 21:04:51,2019-05-05 21:19:49,897.9999999515712,2019-05-05,5,7,21,,,,
921538146366,United States,Mac,organic,2019-05-05 02:19:53,2019-05-05 03:07:46,2873.000000207685,2019-05-05,5,7,3,,,,
771147371911,United States,Android,organic,2019-05-06 15:49:16,2019-05-06 15:53:16,240.00000015366822,2019-05-06,5,1,15,2019-05-06 15:49:16,4999.0,Mobile payments,0.0
200229116069,Unjted States,iPhone,социальные сети,2019-05-06 14:41:29,2019-05-06 15:03:05,1295.9999999497086,2019-05-06,5,1,15,,,,
211508838415,UK,PC,реклама у блогеров,2019-05-06 15:01:55,2019-05-06 15:01:58,3.000000072643161,2019-05-06,5,1,15,,,,
587910441297,United States,Android,organic,2019-05-06 22:17:39,2019-05-07 00:23:00,7520.99999981001,2019-05-06,5,1,0,,,,
777113558856,United States,PC,organic,2019-05-06 02:42:53,2019-05-06 02:57:32,878.999999910593,2019-05-06,5,1,2,,,,
880458590199,United States,Mac,organic,2019-05-06 09:32:33,2019-05-06 09:37:03,269.99999962281436,2019-05-06,5,1,9,,,,
885616229665,Germany,Mac,email-рассылки,2019-05-06 17:57:38,2019-05-06 18:20:47,1388.9999996870756,2019-05-06,5,1,18,,,,
4194358516,France,iPhone,organic,2019-05-07 20:04:41,2019-05-07 20:12:13,452.0000000484288,2019-05-07,5,2,20,,,,
245941309860,Germany,Mac,organic,2019-05-07 12:00:49,2019-05-07 13:10:26,4177.000000141561,2019-05-07,5,2,13,2019-05-07 12:01:43,4999.0,Mobile payments,1.0
70714916898,Unjted States,Android,organic,2019-05-07 14:01:14,2019-05-07 14:26:18,1504.0000001667067,2019-05-07,5,2,14,,,,
13728932787,Unjted States,iPhone,социальные сети,2019-05-08 14:16:46,2019-05-08 15:07:46,3059.999999916181,2019-05-08,5,3,15,,,,
